id,group,rds_path
RL3239,NHEK_Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/data/postmap_pe/RL3239_all_merged/RL3239_all_merged_CG_bsseq_obj.Rds
RL3240,NHEK_Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/data/postmap_pe/RL3240_all_merged/RL3240_all_merged_CG_bsseq_obj.Rds
RL3241,NHEK_Primed,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/data/postmap_pe/RL3241_all_merged/RL3241_all_merged_CG_bsseq_obj.Rds
RL3242,NHEK_TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/data/postmap_pe/RL3242_all_merged/RL3242_all_merged_CG_bsseq_obj.Rds
RL3243,NHEK_TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/data/postmap_pe/RL3243_all_merged/RL3243_all_merged_CG_bsseq_obj.Rds
RL3244,NHEK_TNT,/d/home/hg19ips/hg19ips_samb/mcc_hg19ips/data/postmap_pe/RL3244_all_merged/RL3244_all_merged_CG_bsseq_obj.Rds
