"D0_32F_MEF" "D3_32F_MEF" "D7_32F_MEF" "D13_Primed_32F_KSR" "D21_Primed_32F_KSR" "P3_Primed_32F_KSR" "P10_Primed_32F_KSR" "D13_Naive_32F_Naive" "D21_Naive_32F_Naive" "P3_Naive_32F_Naive" "P10_Naive_32F_Naive"
"AAMDC" 1.64445612001163 2.54267090183509 1.713620181528 1.33206383270581 2.28971636227168 1.33218709538317 1.50359330901431 2.11880999973697 1.51961769698435 1.50973525747157 1.35660408955495
"AAMP" 8.25276064926372 22.6491393673038 22.3300019835504 15.1712917977983 18.0578773518784 20.7745890175873 12.6575308471882 35.9353830383579 29.8284960092185 20.5768565415912 25.1046356753425
"AANAT" 0 0 0 0 0.0563207964294274 0 0 0 0.0682875771410664 0 0
"AAR2" 2.30704074042521 6.8578044645685 4.71300647213675 3.61541613157784 3.81717662112527 4.52088986783814 3.04389820308427 5.98389926748815 4.35491172509883 3.40679147088759 2.74178523883838
"AARD" 0 0.174689528087139 0 0.347226248879966 0.640834325162465 0.193553850868942 0.519191223974831 0 0.258998606722532 0.212386386924624 0.207296303217856
"AARS" 25.6247279984038 36.2379014460164 33.7034908224849 33.6370517141623 131.473134593862 67.7418870258151 60.8398784294645 109.672114959759 158.339840745734 93.1394532366185 77.5195684898523
"AARS2" 7.26225105391656 11.264166455702 25.3485684124476 20.7412095639431 24.2521916497437 20.5201813178477 18.2109376886175 120.385923377107 107.067657714449 137.285070995987 97.3389954145318
"AARSD1" 0 0 0 0 0.0883002710498437 0 0 0 0.0535309508491142 0 0
"AASDH" 0.568685799185366 0.630919401596853 0.90335597033442 0.602373242456583 1.09222486895175 0.644069410401266 1.41162437882922 1.07581542679882 0.898629242613062 1.55999158692144 1.34594881481168
"AASDHPPT" 11.7231845506199 37.3458562348017 38.7892433503766 24.0160658757697 21.4902331008919 10.2124024623944 18.0260204813132 34.7277109553577 15.9312092624291 22.8766114031328 16.5479120899664
"AASS" 7.51691959191007 9.88369334335452 37.300068456336 22.8631505662783 176.578856131244 76.9731220348169 138.186016955522 61.640648111524 53.8679907107546 27.4143342015343 34.6440419636143
"AATBC" 0.950879399520111 3.11147444917146 0.88228361507654 1.91428227429507 5.4353290192928 4.26830295273043 3.52287636966652 11.2427056435901 2.85575438789743 1.08083151619086 1.93403493704107
"AATF" 5.94352452800824 9.56714422968109 7.71093184651272 6.81544324903246 9.32245215053792 9.92740903795135 5.22961874857148 10.9294106202618 8.13805820580424 5.0320609877899 6.94035017698497
"AATK" 0 0 0 0 0.0389033481752946 0.0705008382543914 0.0157593594496748 0 0.035377012906259 0 0
"AATK-AS1" 0 0.0571416193357864 0 0 0.0698731276123834 0.0633122121768611 0.0566098182066414 0 0 0 0
"ABALON" 11.9097270034482 5.83240875278217 11.9977590073309 6.32342242836789 6.48355064308705 5.28728501501371 2.62642188621354 13.4108995328163 8.25420257514876 3.86782061232777 6.29187308137853
"ABAT" 0.296791473810925 0.970135521472649 1.4344297679997 0.682264157037561 0.296571937762321 0.154858220817769 0.350233812213949 0.181953784666749 0.188935102524728 0.259886399540384 0.180487368625311
"ABCA1" 6.99249344629582 19.7012734197321 50.2314566052559 10.9374900659119 5.47176289600114 1.3135224414787 4.58925681757887 51.3906118208316 29.2247889704369 40.4737798410709 36.9341632801929
"ABCA10" 0.175584479394182 0.114649194357389 0.161366336689205 0.0725090213446827 0.140193748114061 0.103933553528815 0.0722795730691373 0.0329526978521489 0.01545286029635 0.0253435893538126 0.024736201125646
"ABCA11P" 0.663812271730596 1.0757221761154 2.0202350233974 2.26154453601614 3.94619930766165 3.0484800957115 2.35686026730252 1.63511928568359 0.81278037394931 0.980891995165317 1.12922190835
"ABCA12" 0.0409190019188144 0.751384013265349 0.408876820430772 0.0955377343768564 0.0335852706080347 0.0195632331491494 0.0330408578526062 0.384563020539587 0.0334496496381365 0.0524741802415354 0.0442324976626095
"ABCA13" 0.00170037095768482 0.00211960615129416 0.0176703225311999 0.254892010500501 0.0414698814122311 0.0281819708874938 0.0713959052934295 0.355176067931014 0.111561432061175 0.443244569392543 0.445197916513242
"ABCA17P" 0.0283092199226431 0.0470520046739871 0.0140090732324634 0 0 0 0 0.0743807905609521 0.0784804004049063 0.0715068998389228 0.0139586309704858
"ABCA2" 5.20762971250727 6.34996271121617 1.93981025588768 0.750731354493984 3.17518635625447 0.444634094247688 1.07576136569044 0.522431781877708 2.57238986766696 2.09508457968355 2.26896919423295
"ABCA3" 0.636378555718698 3.68642327263905 2.0191780500244 1.29852950050546 2.33948144025149 1.06852204662286 1.5872059920604 3.09820433120946 2.49064118241948 0.775354862969086 1.58737665873106
"ABCA4" 0.0126166857167139 0.149410246667459 0 0.062521940692396 0.0384631113965792 0.0261386396272915 0.062324095635194 0 0.0291472339381614 0.191212633405547 0.139972502266312
"ABCA5" 0.546820355313942 0.596436507337264 0.749351057432023 0.527622765938879 0.512932762524024 0.428459505638445 0.396088175563443 0.331554909299297 0.0874572649799221 0.239058332583933 0.241106659233219
"ABCA6" 29.8946381178617 0.750737158556759 0.39948512654022 0.079373538188458 0.058596131997315 0 0 0 0 0 0
"ABCA7" 0.413155960380833 0.752724000565196 1.13236039144143 0.66933997860186 3.39107849214978 1.27296102068991 1.45218886827266 5.51121677177047 3.14243643075778 3.41979691908753 3.47887294776351
"ABCA8" 0.520600697277726 0.213774226488373 0.0545556617589834 0 0.0280076200798916 0.038066659794532 0.0151274778091976 0.0120692413167801 0.0226390325657631 0.0324881634854092 0.00905987066629088
"ABCA9" 6.09204596529771 0.163564610245454 0.18088223899478 0.127723165606256 0.0571450922782394 0.0258896540831599 0.0810211799968752 0 0 0 0.041591755154451
"ABCA9-AS1" 0.297368144320902 0 0 0 0.181310754941876 0.0821430597074952 0.220341551041779 0.234395130519374 0 0.0901354717763869 0
"ABCB1" 0.0231862567878935 0.202320632469602 0.0745805361787883 0.0430872795455385 0.0412331546763181 0.0213494071472782 0.023861629847391 0.0152301274526937 0 0 0.00571630731919705
"ABCB10" 5.20865223146804 11.5961259839473 8.21771956393274 5.88139296839623 5.88872482222711 5.8667121721708 5.22191094116997 9.62019640140624 10.5322902097949 9.96215913092573 9.4390944705386
"ABCB11" 0 0 0 0 0 0 0 0 0 0 0
"ABCB4" 0.0732597590556026 0.10502067829376 0.0761318325992272 0.12252548447424 0.0893356095796008 0.0050592009241641 0.0678543131112882 0 0.0169245662719349 0.00555145454448484 0
"ABCB5" 0.00284672904118498 0 0.00422618875263064 0.0811149942695262 0.0520710709700519 0.0275226729303159 0.0667959978334474 0.0897553336367836 0.0131531020404283 0.030200592940597 0.0463206873529473
"ABCB6" 5.08913746913893 31.8288296846952 26.1827346374616 21.0884709932223 23.1382987443521 8.84678526950544 11.2693855467598 20.7487331796337 17.9192783461726 18.2183085756204 19.7285857997531
"ABCB7" 0.222818723871497 0.512479056942696 0.612663270211221 0.464609850278507 0.904116240012869 0.622001844026123 0.57359553022379 0.674083944158005 0.456757771244505 0.577884318589925 0.519933181894831
"ABCB8" 0.397171780589546 1.00322190222369 2.01716255469052 1.35960032682145 1.11522362115287 1.2414798520897 0.438858398021251 6.42604159539169 3.18728412983371 1.1405086449966 2.35003620684266
"ABCB9" 0.0485423795645031 0.0655533153005382 0.0480432701469979 0.0551264054334313 0.0493286164731067 0.0391096827471193 0.039965063914397 0.0478283300138234 0.0635478395368741 0.0183921444123873 0.0299189259109619
"ABCC1" 2.71071171940282 11.2374324623559 6.67604952538961 4.43618108906665 7.84938285949715 3.77861385898919 5.06273402944239 4.10517637930201 3.31284565453714 4.10822887966249 2.99495200718867
"ABCC10" 3.2535640801148 4.46860749075896 6.04493920861813 3.98248374410381 4.24666559066271 2.66394053046626 2.06915037453455 8.83008492869277 6.60725412835547 4.63568421372494 6.42663943888013
"ABCC11" 0.0120275800120086 0.0449791249316815 0 0.0149006573728721 0.00611119486554627 0.00553736864518195 0 0 0 0 0.0355831530464747
"ABCC12" 0 0 0.0376710957626962 0.0314363900675676 0.0966973641320626 0.0350470874516131 0 0.0500034127459901 0.0117243170038978 0.0192285615673943 0
"ABCC13" 0 0 0.079827521062948 0.15543679910003 0.08196322103938 0.0247556918206158 0.110674952379636 2.18985052075795 1.01034691207031 2.44479493753092 2.14758235691526
"ABCC2" 0.151198637185709 0.637923635694777 0.241732652809533 0.0576357155982666 0.177285679629207 0.0481916966428196 0.071816665701047 1.46682616917592 0.333179499427471 0.158642056726628 0.240862249635874
"ABCC3" 2.37653755634812 0.392753706174539 0.213827469107599 0.234200179521916 0.0548870486061351 0.0124333223152353 0 0 0 0.054572273135297 0.0133160964821595
"ABCC4" 0.298164512485375 0.909007596127899 0.371134012940861 0.114211978960292 0.343083575090023 0.173214756836192 0.270779723177095 0.0851057686792631 0.244829778750077 0.279438200690559 0.490196919628753
"ABCC5" 2.32682795167423 3.16003948598441 5.08153874777741 5.30255308855347 6.49619491808148 4.25397661291133 3.31967757701335 5.30918065375941 3.31581540393671 3.48931211542096 3.20641783763465
"ABCC5-AS1" 0.159275106029416 0.397090403081983 0.236456175469155 0.789287215084881 1.21391153815374 0.879942575851248 0 1.25545758613486 0 0.965559835400729 0.235604771229109
"ABCC6" 0.0956127257398868 0.211887172245132 0.0473148211256135 0.0921294341578826 0.210516273833645 0.132057215765055 0.170556097866014 0.0837389155388673 0.00981714584490067 0.0322013799579123 0.0314296369011532
"ABCC6P1" 0.0598739617458019 0 0.0444437563330959 0 0.0912656030312496 0 0.184853940730245 0 0.0276643234046406 0 0
"ABCC6P2" 0.712845520776305 0 0 0.441562926801118 1.08658713111358 0 0 0 0 0 0
"ABCC8" 0 0.0180263464149662 0.00715612179306017 0 0.00734757618048537 0.0133153135696217 0.0119057201545107 0.018997616312149 0 0.00730543806574854 0
